"row.names.df_params."	"ModePrior_1"	"MAP_1"	"MaxL_1"	"MeanPost_1"	"VarPost_1"	"CVPost_1"	"MinPost_1"	"MaxPost_1"	"ModePrior_2"	"MAP_2"	"MaxL_2"	"MeanPost_2"	"VarPost_2"	"CVPost_2"	"MinPost_2"	"MaxPost_2"	"ModePrior_3"	"MAP_3"	"MaxL_3"	"MeanPost_3"	"VarPost_3"	"CVPost_3"	"MinPost_3"	"MaxPost_3"	"ModePrior_4"	"MAP_4"	"MaxL_4"	"MeanPost_4"	"VarPost_4"	"CVPost_4"	"MinPost_4"	"MaxPost_4"	"ModePrior_5"	"MAP_5"	"MaxL_5"	"MeanPost_5"	"VarPost_5"	"CVPost_5"	"MinPost_5"	"MaxPost_5"	"ModePrior_6"	"MAP_6"	"MaxL_6"	"MeanPost_6"	"VarPost_6"	"CVPost_6"	"MinPost_6"	"MaxPost_6"
"LOG10CLVI"	1.5	1.084	0.9053	1.186	0.0297	0.1454	0.9011	1.634	1.5	1.084	0.9053	1.186	0.0297	0.1454	0.9011	1.634	1.5	1.084	0.9053	1.186	0.0297	0.1454	0.9011	1.634	1.5	1.084	0.9053	1.186	0.0297	0.1454	0.9011	1.634	1.5	1.084	0.9053	1.186	0.0297	0.1454	0.9011	1.634	1.5	1.084	0.9053	1.186	0.0297	0.1454	0.9011	1.634
"LOG10CRESI"	0.5	-0.2701	-0.42	0.04464	0.1802	9.51	-0.7641	0.8672	0.5	-0.2701	-0.42	0.04464	0.1802	9.51	-0.7641	0.8672	0.5	-0.2701	-0.42	0.04464	0.1802	9.51	-0.7641	0.8672	0.5	-0.2701	-0.42	0.04464	0.1802	9.51	-0.7641	0.8672	0.5	-0.2701	-0.42	0.04464	0.1802	9.51	-0.7641	0.8672	0.5	-0.2701	-0.42	0.04464	0.1802	9.51	-0.7641	0.8672
"LOG10CRTI"	1	1.095	1.344	1.176	0.06075	0.2095	0.6069	1.563	1	1.095	1.344	1.176	0.06075	0.2095	0.6069	1.563	1	1.095	1.344	1.176	0.06075	0.2095	0.6069	1.563	1	1.095	1.344	1.176	0.06075	0.2095	0.6069	1.563	1	1.095	1.344	1.176	0.06075	0.2095	0.6069	1.563	1	1.095	1.344	1.176	0.06075	0.2095	0.6069	1.563
"CSTI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOG10LAII"	0	-0.2498	-0.3393	-0.1524	0.03062	1.148	-0.5921	0.2789	0	-0.2498	-0.3393	-0.1524	0.03062	1.148	-0.5921	0.2789	0	-0.2498	-0.3393	-0.1524	0.03062	1.148	-0.5921	0.2789	0	-0.2498	-0.3393	-0.1524	0.03062	1.148	-0.5921	0.2789	0	-0.2498	-0.3393	-0.1524	0.03062	1.148	-0.5921	0.2789	0	-0.2498	-0.3393	-0.1524	0.03062	1.148	-0.5921	0.2789
"PHENI"	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01
"TILTOTI"	2000	2273	2490	2324	26340	0.06983	1977	2613	2000	2273	2490	2324	26340	0.06983	1977	2613	2000	2273	2490	2324	26340	0.06983	1977	2613	2000	2273	2490	2324	26340	0.06983	1977	2613	2000	2273	2490	2324	26340	0.06983	1977	2613	2000	2273	2490	2324	26340	0.06983	1977	2613
"FRTILGI"	0.2	0.297	0.3378	0.2813	0.001488	0.1371	0.1872	0.3485	0.2	0.297	0.3378	0.2813	0.001488	0.1371	0.1872	0.3485	0.2	0.297	0.3378	0.2813	0.001488	0.1371	0.1872	0.3485	0.2	0.297	0.3378	0.2813	0.001488	0.1371	0.1872	0.3485	0.2	0.297	0.3378	0.2813	0.001488	0.1371	0.1872	0.3485	0.2	0.297	0.3378	0.2813	0.001488	0.1371	0.1872	0.3485
"LT50I"	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789	-4.789	-4.789	-4.789	-4.789	0	0	-4.789	-4.789
"CLAIV"	0.5	0.615	0.5382	0.6003	0.004371	0.1101	0.474	0.7319	0.5	0.615	0.5382	0.6003	0.004371	0.1101	0.474	0.7319	0.5	0.615	0.5382	0.6003	0.004371	0.1101	0.474	0.7319	0.5	0.615	0.5382	0.6003	0.004371	0.1101	0.474	0.7319	0.5	0.615	0.5382	0.6003	0.004371	0.1101	0.474	0.7319	0.5	0.615	0.5382	0.6003	0.004371	0.1101	0.474	0.7319
"COCRESMX"	0.1412	0.132	0.1367	0.1558	0.0005164	0.1458	0.1177	0.1963	0.1412	0.132	0.1367	0.1558	0.0005164	0.1458	0.1177	0.1963	0.1412	0.132	0.1367	0.1558	0.0005164	0.1458	0.1177	0.1963	0.1412	0.132	0.1367	0.1558	0.0005164	0.1458	0.1177	0.1963	0.1412	0.132	0.1367	0.1558	0.0005164	0.1458	0.1177	0.1963	0.1412	0.132	0.1367	0.1558	0.0005164	0.1458	0.1177	0.1963
"CSTAVM"	1	1.03	0.8648	1.049	0.01912	0.1318	0.8063	1.358	1	1.03	0.8648	1.049	0.01912	0.1318	0.8063	1.358	1	1.03	0.8648	1.049	0.01912	0.1318	0.8063	1.358	1	1.03	0.8648	1.049	0.01912	0.1318	0.8063	1.358	1	1.03	0.8648	1.049	0.01912	0.1318	0.8063	1.358	1	1.03	0.8648	1.049	0.01912	0.1318	0.8063	1.358
"DAYLB"	0.3922	0.4697	0.4438	0.4769	0.002424	0.1033	0.3671	0.5811	0.3922	0.4697	0.4438	0.4769	0.002424	0.1033	0.3671	0.5811	0.3922	0.4697	0.4438	0.4769	0.002424	0.1033	0.3671	0.5811	0.3922	0.4697	0.4438	0.4769	0.002424	0.1033	0.3671	0.5811	0.3922	0.4697	0.4438	0.4769	0.002424	0.1033	0.3671	0.5811	0.3922	0.4697	0.4438	0.4769	0.002424	0.1033	0.3671	0.5811
"DAYLP"	0.6323	0.7255	0.7931	0.7736	0.003174	0.07282	0.6319	0.9039	0.6323	0.7255	0.7931	0.7736	0.003174	0.07282	0.6319	0.9039	0.6323	0.7255	0.7931	0.7736	0.003174	0.07282	0.6319	0.9039	0.6323	0.7255	0.7931	0.7736	0.003174	0.07282	0.6319	0.9039	0.6323	0.7255	0.7931	0.7736	0.003174	0.07282	0.6319	0.9039	0.6323	0.7255	0.7931	0.7736	0.003174	0.07282	0.6319	0.9039
"DLMXGE"	0.9919	0.9667	0.986	0.9639	0.0007832	0.02903	0.8762	0.9997	0.9919	0.9667	0.986	0.9639	0.0007832	0.02903	0.8762	0.9997	0.9919	0.9667	0.986	0.9639	0.0007832	0.02903	0.8762	0.9997	0.9919	0.9667	0.986	0.9639	0.0007832	0.02903	0.8762	0.9997	0.9919	0.9667	0.986	0.9639	0.0007832	0.02903	0.8762	0.9997	0.9919	0.9667	0.986	0.9639	0.0007832	0.02903	0.8762	0.9997
"FSLAMIN"	0.4666	0.6856	0.4603	0.5393	0.009311	0.1789	0.3958	0.7166	0.4666	0.6856	0.4603	0.5393	0.009311	0.1789	0.3958	0.7166	0.4666	0.6856	0.4603	0.5393	0.009311	0.1789	0.3958	0.7166	0.4666	0.6856	0.4603	0.5393	0.009311	0.1789	0.3958	0.7166	0.4666	0.6856	0.4603	0.5393	0.009311	0.1789	0.3958	0.7166	0.4666	0.6856	0.4603	0.5393	0.009311	0.1789	0.3958	0.7166
"FSMAX"	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693	0.693	0.693	0.693	0.693	0	0	0.693	0.693
"HAGERE"	0.8	0.7967	0.8074	0.7973	0.000411	0.02543	0.753	0.8556	0.8	0.7967	0.8074	0.7973	0.000411	0.02543	0.753	0.8556	0.8	0.7967	0.8074	0.7973	0.000411	0.02543	0.753	0.8556	0.8	0.7967	0.8074	0.7973	0.000411	0.02543	0.753	0.8556	0.8	0.7967	0.8074	0.7973	0.000411	0.02543	0.753	0.8556	0.8	0.7967	0.8074	0.7973	0.000411	0.02543	0.753	0.8556
